구,인구,주유소개수,전기차수,충전소개수,현재충전소당전기차,미래전기차수,휘발유자동차수,주유소당자동차,자동차당주유소비율,주유소비율로본미래충전소개수,미래충전소당전기차예측(주유소기준),인구비,인구비율로본미래충전소개수,미래충전소당전기차예측(인구기준),longitude,latitude
강남구,503019,35,12173,2252,5.405417406749556,116843,216532,6186.628571428571,0.0161638926348068,69879.59516376333,1.672061776061776,0.0531051790162864,85008.06751565938,1.3744930735953538,127.049555555555,37.514575
강동구,451099,14,1293,1272,1.0165094339622642,12411,136235,9731.07142857143,0.0102763607002605,4718.97676808456,2.630019305019305,0.0476238335909136,8097.513762146558,1.532692671424369,127.125863888888,37.5273666666666
강북구,292611,13,514,622,0.8263665594855305,4934,66247,5095.923076923077,0.0196235301221187,3582.432412033753,1.3772765072765072,0.0308917944195638,2088.155557225953,2.362850786152473,127.027719444444,37.6369555555555
강서구,559837,32,1776,1596,1.112781954887218,17047,181777,5680.53125,0.0176039873031241,11103.52134758523,1.5352787162162158,0.0591036205490065,13803.290047135137,1.2349954207865173,126.851675,37.5481555555555
관악구,495777,15,777,594,1.3080808080808082,7458,106692,7112.8,0.0140591609492745,3879.569227308514,1.9223783783783783,0.0523406200106903,5347.881913344279,1.394570807816541,126.953844444444,37.4753861111111
광진구,347099,16,623,546,1.141025641025641,5980,89909,5619.3125,0.0177957712798496,3937.4923533795286,1.518733108108108,0.0366442510747586,3002.1169135506734,1.9919277537153992,127.084533333333,37.5357388888888
구로구,426220,21,3799,1344,2.8266369047619047,36465,128156,6102.666666666667,0.0163862792221979,22108.449857985583,1.6493693693693692,0.0449972851926499,22479.31626233474,1.6221578794680245,126.889597222222,37.49265
금천구,247398,12,561,958,0.5855949895615866,5385,81146,6762.166666666667,0.014788159613536,2946.4668621989995,1.8276126126126124,0.0261185264935742,1926.8812328001932,2.794671466167315,126.904197222222,37.4491083333333
노원구,503929,15,896,1353,0.6622320768662232,8600,133828,8921.866666666667,0.0112084167737693,3566.518217413396,2.411315315315316,0.0532012503633027,6268.171317804333,1.372011000333105,127.058388888888,37.6514611111111
도봉구,309200,18,639,702,0.9102564102564102,6133,83308,4628.222222222223,0.0216065683967926,4902.984107168579,1.250870870870871,0.0326431434037993,2742.745459388372,2.2360806319109354,127.049522222222,37.6658333333333
동대문구,348201,19,659,903,0.7297895902547066,6325,88879,4677.8421052631575,0.0213773782333284,5002.840941054693,1.2642816500711236,0.0367605924202663,3185.397234697128,1.9856236236738587,127.042141666666,37.571625
동작구,388094,10,726,1036,0.7007722007722008,6969,97979,9797.9,0.0102062686902295,2631.717000581757,2.648081081081081,0.040972212471391,3911.8342773698014,1.7815171875547198,126.941575,37.5096555555555
마포구,365192,12,1086,1410,0.7702127659574468,10424,111313,9276.083333333334,0.0107804119914116,4157.875540143559,2.5070495495495497,0.0385543817138431,5505.904987295883,1.893240080250557,126.910530555555,37.5607055555555
서대문구,314547,15,669,812,0.8238916256157636,6421,80604,5373.6,0.0186094982879261,4421.188774750633,1.4523243243243245,0.033207641747202,2921.1998669253485,2.1980693867271386,126.938897222222,37.5763666666666
서초구,392302,33,3495,1947,1.7950693374422189,33547,166410,5042.727272727273,0.0198305390301063,24614.438435190197,1.3628992628992629,0.0414164632716601,19034.753879229025,1.7624078678845925,127.034811111111,37.4807861111111
성동구,286469,17,1461,1756,0.8320045558086561,14023,96307,5665.117647058823,0.0176518840790389,9158.697706293417,1.5311128775834657,0.0302433656136578,5810.207209204437,2.4135111700982,127.039,37.5606111111111
성북구,435509,24,926,1483,0.624409979770735,8888,109967,4581.958333333333,0.0218247292369529,7177.193157947384,1.2383671171171171,0.0459779519425784,5598.532905059233,1.5875587677564904,127.020333333333,37.5863833333333
송파구,634720,33,1988,2106,0.9439696106362772,19082,226642,6867.939393939394,0.0145604080444048,10280.14313322332,1.8561998361998369,0.0670092366793646,17517.782484124207,1.089293123561352,127.107930555555,37.5117555555555
양천구,433373,25,998,899,1.110122358175751,9579,135870,5434.8,0.0183999411201884,6521.362331640538,1.468864864864865,0.045752448209362,6004.199009145464,1.5953834950189822,126.868708333333,37.5142305555555
영등포구,402984,29,2388,1228,1.944625407166124,22921,133605,4607.068965517241,0.0217057744844878,18408.168107481008,1.2451537744641192,0.0425441930835598,13359.629660455355,1.715691271581158,126.898341666666,37.5236111111111
용산구,221688,13,968,804,1.2039800995024876,9291,74737,5749.0,0.0173943294485997,5979.596451556793,1.5537837837837836,0.0234042470080901,2979.049367644669,3.118780138694297,126.967522222222,37.5360944444444
은평구,457385,17,901,1197,0.7527151211361738,8648,118425,6966.176470588235,0.0143550770529871,4593.280135106608,1.88275039745628,0.0482874648956881,5720.982950925383,1.51162834676883,126.931241666666,37.5999694444444
종로구,148857,9,611,604,1.0115894039735098,5865,46746,5194.0,0.0192529842125529,4177.993839045052,1.403783783783784,0.0157152664866085,1262.7295198322402,4.6447001577813705,126.981641666666,37.5703777777777
중구,126310,11,968,914,1.0590809628008753,9291,57305,5209.545454545455,0.0191955326760317,6598.79068144141,1.407985257985258,0.0133349141116879,1697.3572120601846,5.4738035894771695,126.999641666666,37.5610027777777
중랑구,380307,15,778,1218,0.638752052545156,7468,99553,6636.866666666667,0.0150673510592347,4163.350175283517,1.7937477477477477,0.0401501162304939,4107.822631727805,1.8179947552552576,127.094777777777,37.6038055555555
